neighbourhood_group,neighbourhood,room_type,price_per_night,minimum_nights_to_book,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Manhattan,East Harlem,Private room,79,5,47,1.77,1,131
Brooklyn,Cypress Hills,Private room,42,6,12,0.96,2,207
Brooklyn,Bedford-Stuyvesant,Private room,54,2,14,0.52,1,0
Queens,Astoria,Private room,55,7,7,0.49,1,365
Brooklyn,Bushwick,Private room,69,2,98,1.36,1,20
Manhattan,Harlem,Private room,81,2,72,0.77,1,0
Manhattan,Inwood,Entire home/apt,70,20,17,0.72,1,0
Brooklyn,Williamsburg,Private room,78,4,4,0.22,3,0
Brooklyn,Boerum Hill,Entire home/apt,80,30,3,0.16,1,0
Manhattan,Hell's Kitchen,Entire home/apt,200,2,2,1.36,1,5
Manhattan,Financial District,Entire home/apt,160,7,2,0.05,1,0
Brooklyn,Prospect Heights,Entire home/apt,175,7,5,0.18,1,0
Brooklyn,Midwood,Private room,100,1,8,3.0,1,179
Queens,Long Island City,Private room,99,1,23,1.25,2,93
Manhattan,Midtown,Entire home/apt,215,4,130,1.92,2,270
Manhattan,Lower East Side,Entire home/apt,180,3,38,0.81,1,36
Brooklyn,Park Slope,Entire home/apt,280,4,2,0.11,1,0
Manhattan,Washington Heights,Private room,49,3,1,0.45,1,2
Brooklyn,Bedford-Stuyvesant,Private room,42,2,34,3.29,1,9
Manhattan,East Village,Private room,120,1,2,0.28,2,0
Manhattan,Upper East Side,Entire home/apt,140,2,11,3.93,1,3
Manhattan,Upper West Side,Private room,50,14,1,0.42,1,15
Manhattan,Chelsea,Entire home/apt,233,2,92,3.08,1,219
Brooklyn,Williamsburg,Private room,100,10,2,0.9,1,3
Manhattan,Tribeca,Private room,229,1,62,0.73,1,36
Brooklyn,Bushwick,Private room,55,1,2,0.1,2,0
Bronx,Mount Hope,Private room,63,1,3,0.94,1,167
Brooklyn,Bushwick,Private room,42,1,10,0.54,1,0
Brooklyn,Clinton Hill,Entire home/apt,145,2,4,0.13,1,0
Brooklyn,Williamsburg,Private room,60,3,1,0.3,1,0
Brooklyn,Williamsburg,Entire home/apt,300,2,3,0.07,1,0
Manhattan,SoHo,Private room,150,5,1,0.43,1,97
Manhattan,Murray Hill,Entire home/apt,225,1,45,1.16,1,255
Brooklyn,Fort Greene,Entire home/apt,200,2,13,1.3,1,0
Manhattan,Harlem,Private room,199,3,1,0.56,1,0
Manhattan,Hell's Kitchen,Private room,79,1,5,0.14,1,0
Brooklyn,Williamsburg,Entire home/apt,149,4,1,0.01,1,0
Manhattan,Washington Heights,Entire home/apt,225,3,2,0.04,1,0
Brooklyn,Williamsburg,Entire home/apt,175,3,105,2.45,1,104
Brooklyn,Sheepshead Bay,Entire home/apt,69,1,42,6.09,1,57
Brooklyn,Gowanus,Entire home/apt,165,3,178,3.7,1,134
Queens,Sunnyside,Entire home/apt,80,10,81,0.98,2,40
Manhattan,Upper West Side,Entire home/apt,165,1,152,5.32,1,228
Brooklyn,Williamsburg,Private room,72,2,48,5.83,1,95
Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,1,4,0.3,1,0
Brooklyn,Park Slope,Private room,89,5,102,2.17,1,255
Brooklyn,East Flatbush,Entire home/apt,97,2,21,0.85,1,0
Manhattan,West Village,Entire home/apt,168,30,4,1.85,1,47
Brooklyn,Crown Heights,Entire home/apt,155,3,66,1.75,3,309
Brooklyn,Bedford-Stuyvesant,Entire home/apt,128,4,44,1.98,1,88
Manhattan,Upper West Side,Private room,90,2,6,0.48,3,0
Manhattan,Hell's Kitchen,Entire home/apt,305,1,2,2.0,1,133
Manhattan,Upper East Side,Private room,105,14,7,0.19,1,29
Brooklyn,Prospect Heights,Entire home/apt,150,3,25,0.42,1,18
Queens,Springfield Gardens,Entire home/apt,300,1,5,0.66,1,154
Brooklyn,Windsor Terrace,Entire home/apt,125,5,2,0.27,1,0
Manhattan,East Village,Entire home/apt,225,1,2,2.0,1,344
Queens,Sunnyside,Private room,50,1,1,0.04,1,0
Brooklyn,Williamsburg,Private room,100,2,4,1.05,1,0
Manhattan,Lower East Side,Private room,97,1,2,0.04,1,0
Brooklyn,Crown Heights,Entire home/apt,120,5,37,0.45,1,310
Brooklyn,East Flatbush,Private room,50,1,35,1.03,2,365
Manhattan,Chelsea,Entire home/apt,165,6,5,0.16,1,0
Manhattan,Harlem,Private room,86,2,3,0.11,3,342
Manhattan,Hell's Kitchen,Private room,129,1,11,1.58,3,177
Queens,Ridgewood,Entire home/apt,160,7,3,0.06,2,15
Manhattan,Hell's Kitchen,Private room,120,1,89,5.16,3,0
Manhattan,Lower East Side,Entire home/apt,300,1,2,0.05,1,0
Manhattan,Chelsea,Entire home/apt,175,14,78,1.36,1,0
Manhattan,Washington Heights,Private room,45,9,1,0.03,1,0
Manhattan,Hell's Kitchen,Entire home/apt,300,2,1,0.6,1,0
Manhattan,Lower East Side,Entire home/apt,208,3,4,0.15,1,0
Brooklyn,Crown Heights,Private room,33,28,20,0.37,1,282
Queens,Briarwood,Private room,73,4,72,2.11,1,282
Brooklyn,Crown Heights,Private room,30,1,1,0.88,1,34
Brooklyn,Bushwick,Private room,54,4,6,0.14,1,0
Manhattan,Hell's Kitchen,Entire home/apt,139,2,121,5.35,1,82
Brooklyn,Bedford-Stuyvesant,Private room,55,2,19,2.95,3,359
Manhattan,Upper East Side,Private room,100,1,2,0.05,1,0
Brooklyn,Flatbush,Private room,72,3,37,0.66,2,334
Brooklyn,Fort Greene,Entire home/apt,285,3,66,1.41,2,292
Brooklyn,Bushwick,Private room,70,3,174,6.03,3,202
Manhattan,East Village,Entire home/apt,160,1,15,0.18,1,0
Manhattan,NoHo,Private room,75,2,1,0.03,1,0
Manhattan,Tribeca,Private room,95,1,22,0.68,2,0
Manhattan,Upper East Side,Entire home/apt,125,1,1,0.02,1,0
Brooklyn,Bushwick,Private room,75,2,53,1.23,1,340
Manhattan,Midtown,Entire home/apt,105,10,4,0.22,1,19
Manhattan,Upper West Side,Private room,85,2,26,0.71,1,16
Brooklyn,Crown Heights,Private room,75,2,13,0.47,1,354
Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,30,2,0.18,2,0
Queens,Forest Hills,Entire home/apt,60,4,97,4.42,3,273
Brooklyn,South Slope,Entire home/apt,160,1,111,2.23,1,253
Manhattan,Financial District,Private room,113,3,131,4.21,3,12
Brooklyn,Williamsburg,Private room,100,3,12,0.43,2,0
Manhattan,East Harlem,Entire home/apt,90,3,1,0.16,1,0
Brooklyn,Bedford-Stuyvesant,Private room,50,1,3,0.46,2,0
Manhattan,Hell's Kitchen,Entire home/apt,295,2,7,1.12,1,129
Manhattan,Upper West Side,Private room,116,1,43,0.63,1,0
Brooklyn,Fort Greene,Entire home/apt,169,2,136,3.46,1,251
Queens,Ditmars Steinway,Entire home/apt,130,2,2,2.0,1,26
Queens,Sunnyside,Private room,60,2,5,0.12,1,0
Queens,Rego Park,Entire home/apt,49,7,23,0.96,1,22
Brooklyn,Bushwick,Entire home/apt,160,3,46,3.22,1,270
Queens,Sunnyside,Shared room,30,1,36,2.29,3,140
Brooklyn,Bushwick,Entire home/apt,249,3,76,1.13,1,40
Brooklyn,Fort Hamilton,Private room,70,1,15,0.39,1,22
Brooklyn,Prospect Heights,Entire home/apt,125,5,7,0.08,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,80,3,6,0.24,1,0
Manhattan,Chelsea,Entire home/apt,130,2,4,0.1,1,0
Manhattan,Hell's Kitchen,Private room,207,1,3,0.74,2,82
Manhattan,Harlem,Private room,35,2,7,0.37,1,0
Brooklyn,Williamsburg,Entire home/apt,100,4,48,2.16,1,6
Brooklyn,Bedford-Stuyvesant,Private room,90,3,52,0.85,1,0
Brooklyn,Prospect Heights,Entire home/apt,125,30,11,0.34,3,87
Manhattan,Harlem,Private room,45,3,1,0.03,2,0
Manhattan,Chinatown,Entire home/apt,199,3,7,1.88,1,49
Manhattan,Midtown,Private room,189,1,4,0.12,1,365
Brooklyn,Bedford-Stuyvesant,Entire home/apt,97,3,15,0.25,1,0
Brooklyn,Carroll Gardens,Entire home/apt,149,3,38,2.38,1,138
Brooklyn,Prospect Heights,Entire home/apt,150,2,4,0.98,1,5
Brooklyn,Bedford-Stuyvesant,Entire home/apt,109,2,5,1.24,2,0
Queens,Flushing,Private room,55,1,116,1.51,2,298
Brooklyn,Bushwick,Entire home/apt,90,5,8,0.81,1,0
Manhattan,Hell's Kitchen,Entire home/apt,172,4,27,1.75,1,42
Brooklyn,Midwood,Entire home/apt,125,3,6,0.71,3,173
Queens,Astoria,Private room,65,1,4,0.64,1,88
Manhattan,East Harlem,Private room,99,2,52,3.96,1,42
Manhattan,Midtown,Entire home/apt,269,5,15,0.22,1,0
Brooklyn,Prospect-Lefferts Gardens,Private room,80,1,29,1.51,1,0
Brooklyn,Bedford-Stuyvesant,Private room,50,3,15,0.69,2,0
Brooklyn,Greenpoint,Private room,70,5,2,0.16,1,0
Manhattan,Financial District,Entire home/apt,225,3,3,2.5,1,68
Manhattan,Lower East Side,Entire home/apt,138,7,4,0.17,1,0
Brooklyn,Williamsburg,Private room,95,3,1,0.04,1,67
Manhattan,East Harlem,Private room,85,1,6,0.67,1,0
Manhattan,Harlem,Private room,55,3,3,0.39,2,0
Manhattan,Flatiron District,Private room,135,1,17,0.25,1,365
Queens,Briarwood,Private room,50,1,13,1.46,1,0
Queens,Jackson Heights,Entire home/apt,69,6,78,1.25,1,30
Queens,Astoria,Private room,48,1,3,0.13,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,75,4,1,0.01,1,0
Brooklyn,Crown Heights,Entire home/apt,150,2,11,0.24,1,0
Brooklyn,Flatbush,Entire home/apt,125,3,40,2.02,1,0
Manhattan,Harlem,Private room,190,2,1,0.16,2,89
Manhattan,East Harlem,Entire home/apt,200,6,32,1.73,2,251
Manhattan,Harlem,Private room,80,2,9,0.36,3,72
Brooklyn,Greenpoint,Entire home/apt,70,30,2,0.33,1,0
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,100,5,117,1.61,2,73
Manhattan,East Village,Entire home/apt,179,8,15,0.19,1,0
Manhattan,Upper East Side,Entire home/apt,150,2,3,1.96,1,66
Manhattan,Lower East Side,Entire home/apt,200,2,15,1.51,1,129
Bronx,Concourse Village,Private room,34,2,2,0.29,1,0
Manhattan,Midtown,Entire home/apt,255,4,5,0.26,2,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,3,73,2.5,1,329
Manhattan,Upper East Side,Entire home/apt,300,31,1,0.04,1,358
Manhattan,Upper West Side,Entire home/apt,50,1,1,0.02,1,0
Brooklyn,East Flatbush,Entire home/apt,199,2,6,0.16,1,130
Brooklyn,Williamsburg,Entire home/apt,250,2,24,1.83,1,0
Manhattan,East Village,Private room,115,2,6,0.87,1,23
Queens,Jackson Heights,Entire home/apt,143,2,3,0.15,1,0
Queens,Jamaica Estates,Entire home/apt,145,4,38,0.75,1,125
Manhattan,Washington Heights,Entire home/apt,120,3,10,0.7,2,244
Brooklyn,Williamsburg,Private room,80,7,11,0.25,1,0
Manhattan,Upper East Side,Private room,90,2,12,0.79,1,2
Manhattan,East Village,Entire home/apt,146,18,34,0.5,1,0
Manhattan,Morningside Heights,Private room,89,1,46,1.33,1,363
Brooklyn,Williamsburg,Private room,70,3,12,0.38,1,188
Manhattan,Chelsea,Private room,170,2,183,2.19,2,254
Brooklyn,Bushwick,Private room,70,1,3,0.16,2,0
Brooklyn,Williamsburg,Private room,95,2,4,0.36,2,28
Brooklyn,Bedford-Stuyvesant,Private room,67,2,87,2.51,1,60
Brooklyn,Crown Heights,Entire home/apt,185,3,56,1.25,1,333
Manhattan,Upper West Side,Entire home/apt,116,3,15,0.77,1,0
Brooklyn,Williamsburg,Private room,45,3,3,0.76,1,0
Brooklyn,Williamsburg,Private room,59,5,1,0.1,2,48
Brooklyn,Crown Heights,Entire home/apt,183,1,58,4.36,1,15
Brooklyn,Park Slope,Entire home/apt,189,7,13,0.39,1,33
Brooklyn,Bedford-Stuyvesant,Private room,76,1,25,0.58,3,141
Brooklyn,Greenpoint,Private room,44,4,47,1.3,2,0
Manhattan,East Harlem,Private room,50,1,64,2.55,1,4
Manhattan,Hell's Kitchen,Private room,99,1,155,5.74,3,179
Manhattan,Lower East Side,Entire home/apt,260,6,23,0.3,1,0
Queens,Ridgewood,Entire home/apt,99,3,8,0.69,1,16
Manhattan,Upper East Side,Entire home/apt,235,2,10,0.2,1,345
Queens,Long Island City,Entire home/apt,107,3,4,0.38,1,0
Manhattan,West Village,Entire home/apt,140,30,18,0.29,1,182
Brooklyn,Fort Greene,Entire home/apt,150,3,17,0.43,1,0
Manhattan,Chinatown,Private room,119,6,117,3.65,2,207
Manhattan,Hell's Kitchen,Entire home/apt,269,1,63,6.18,1,216
Brooklyn,Flatbush,Private room,60,1,138,3.36,2,122
Manhattan,West Village,Entire home/apt,300,3,1,0.03,1,0
Brooklyn,Crown Heights,Private room,50,1,2,0.04,2,0
Manhattan,Harlem,Entire home/apt,125,1,10,0.17,1,297
Brooklyn,Brighton Beach,Entire home/apt,75,2,8,0.1,1,2
Manhattan,Upper East Side,Entire home/apt,160,14,20,0.37,1,43
Manhattan,Harlem,Entire home/apt,175,4,6,1.33,1,0
Brooklyn,Bedford-Stuyvesant,Private room,75,2,9,2.62,1,0
Manhattan,East Village,Private room,175,30,20,0.31,1,83
Brooklyn,Williamsburg,Entire home/apt,300,5,5,0.35,3,31
Manhattan,Lower East Side,Private room,80,3,23,1.1,1,28
Manhattan,Upper East Side,Entire home/apt,147,7,10,0.86,2,11
Manhattan,East Village,Private room,60,3,50,1.31,1,240
Brooklyn,Bedford-Stuyvesant,Private room,51,5,13,0.33,1,89
Manhattan,Midtown,Entire home/apt,99,1,7,0.16,1,0
Brooklyn,Greenpoint,Entire home/apt,120,2,2,0.24,1,0
Brooklyn,Bushwick,Private room,69,2,96,2.93,1,36
Brooklyn,Greenpoint,Entire home/apt,100,2,3,0.2,1,2
Manhattan,Morningside Heights,Entire home/apt,125,3,1,0.17,1,0
Manhattan,Upper West Side,Entire home/apt,225,15,15,0.45,1,266
Brooklyn,Williamsburg,Entire home/apt,250,2,88,1.31,1,223
Manhattan,Murray Hill,Entire home/apt,300,1,2,0.03,1,0
Manhattan,Upper East Side,Entire home/apt,130,3,3,0.64,1,0
Queens,Forest Hills,Entire home/apt,94,3,9,1.32,1,329
Manhattan,Greenwich Village,Entire home/apt,300,4,28,3.82,1,217
Brooklyn,Williamsburg,Entire home/apt,200,3,7,0.12,1,0
Manhattan,Greenwich Village,Entire home/apt,165,2,2,0.04,1,0
Brooklyn,Crown Heights,Entire home/apt,185,2,6,0.79,2,2
Manhattan,East Harlem,Private room,79,3,56,1.1,2,90
Brooklyn,Bedford-Stuyvesant,Entire home/apt,144,5,3,0.06,1,0
Manhattan,Upper West Side,Entire home/apt,200,5,12,0.26,1,0
Brooklyn,Flatbush,Private room,54,2,96,5.43,1,130
Queens,Woodhaven,Entire home/apt,170,5,1,0.09,2,0
Brooklyn,Williamsburg,Private room,59,3,207,2.29,2,284
Manhattan,Greenwich Village,Entire home/apt,195,3,9,0.38,1,0
Brooklyn,Bedford-Stuyvesant,Private room,53,2,18,2.49,2,333
Brooklyn,Carroll Gardens,Entire home/apt,190,4,12,3.33,3,207
Brooklyn,Bedford-Stuyvesant,Entire home/apt,160,2,33,4.65,1,246
Brooklyn,Williamsburg,Entire home/apt,190,4,50,0.51,1,331
Brooklyn,Bedford-Stuyvesant,Private room,70,2,11,0.8,2,20
Manhattan,Upper West Side,Private room,80,4,75,0.93,1,15
Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,2,80,2.09,3,286
Manhattan,East Village,Entire home/apt,200,2,103,1.08,1,235
Brooklyn,Crown Heights,Entire home/apt,70,2,2,0.05,1,0
Brooklyn,Bushwick,Entire home/apt,150,4,11,0.23,2,8
Manhattan,Upper East Side,Entire home/apt,165,1,1,1.0,1,5
Manhattan,Financial District,Entire home/apt,208,5,4,2.11,1,9
Manhattan,Chelsea,Private room,89,1,5,5.0,1,296
Manhattan,Upper West Side,Entire home/apt,299,2,155,2.46,1,267
Brooklyn,South Slope,Private room,125,1,7,0.17,2,0
Queens,Maspeth,Private room,45,2,41,1.68,1,154
Manhattan,Hell's Kitchen,Entire home/apt,115,3,1,0.02,1,0
Manhattan,Little Italy,Entire home/apt,200,3,41,0.6,1,0
Manhattan,Lower East Side,Entire home/apt,195,4,68,0.77,1,271
Manhattan,Upper West Side,Entire home/apt,200,30,9,0.28,2,139
Brooklyn,Greenpoint,Entire home/apt,135,2,18,0.42,1,0
Manhattan,Nolita,Private room,115,2,9,0.29,1,332
Brooklyn,Bushwick,Entire home/apt,119,7,2,2.0,1,15
Brooklyn,Clinton Hill,Entire home/apt,120,2,17,0.92,1,8
Queens,Sunnyside,Private room,90,2,12,5.14,1,57
Manhattan,East Village,Private room,100,3,1,0.04,1,0
Brooklyn,Williamsburg,Entire home/apt,159,3,6,0.15,2,0
Manhattan,Gramercy,Private room,65,1,11,1.79,3,0
Manhattan,East Harlem,Entire home/apt,200,5,7,0.38,1,9
Manhattan,East Harlem,Entire home/apt,150,2,5,0.14,1,0
Manhattan,Harlem,Private room,95,3,160,2.78,2,0
Queens,Long Island City,Private room,89,1,165,1.99,2,50
Brooklyn,Bushwick,Private room,40,2,23,1.25,1,8
Manhattan,East Harlem,Private room,150,2,2,0.24,2,67
Queens,Corona,Private room,50,1,4,0.2,1,95
Manhattan,Hell's Kitchen,Private room,105,3,42,2.71,1,286
Queens,Long Island City,Entire home/apt,215,2,59,0.94,1,335
